track_id,album_id,album_title,artist_id,artist_name,track_date_recorded,track_genres,track_interest,track_number,track_title,artist_nacionality,track_price
2,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,4656,3,Food,Australiano,1.07
3,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1470,4,Electric Ave,Indiano,0.72
5,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1933,6,This World,Espanhol,0.74
10,6,Constant Hitmaker,6,Kurt Vile,11/26/2008,Pop,54881,1,Freeway,Chinês,1.37
20,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,978,3,Spiritual Level,Japonês,0.77
26,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,1060,4,Where is your Love?,Australiano,1.36
30,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,718,5,Too Happy,Americano,1.05
46,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,252,8,Yosemite,Indiano,0.89
48,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,247,9,Light of Light,Espanhol,1.03
134,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1126,5,Street Music,Espanhol,1.19
135,58,mp3,52,Abominog,11/26/2008,Psych-Rock,2484,0,Father's Day,Francês,1.19
136,58,mp3,52,Abominog,11/26/2008,Psych-Rock,1948,0,Peel Back The Mountain Sky,Espanhol,1.19
137,59,Live at LACE,53,Airway,4/27/1978,Noise,2559,1,Side A,Indiano,1.09
138,59,Live at LACE,53,Airway,4/27/1978,Noise,1909,2,Side B,Brasileiro,1.14
139,60,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,702,2,CandyAss,Italiano,0.76
140,61,The Blind Spot,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,1593,2,Queen Of The Wires,Espanhol,0.85
141,60,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,839,4,Ohio,Canadiano,0.7
142,62,The Quiet Room,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,1223,5,Punjabi Watery Grave,Japonês,1.22
144,64,Amoebiasis,56,Amoebic Ensemble,11/26/1998,Jazz,1146,1,Wire Up,Russo,1.07
145,64,Amoebiasis,56,Amoebic Ensemble,11/26/1998,Jazz,968,3,Amoebiasis,Francês,0.81
146,65,Limbic Rage,56,Amoebic Ensemble,11/26/1995,Jazz,855,6,Gimme a Buck or I'll Touch You / Boilermaker,Brasileiro,1.12
147,65,Limbic Rage,56,Amoebic Ensemble,11/26/1995,Jazz,930,7,Repetitive Motion Sickness,Espanhol,0.78
148,66,Contradiction,57,Contradiction,08/01/2002,Avant-Garde,2437,2,Blackout 2,Japonês,1.38
149,67,Two Gong/Wire Pieces,58,Andy Hayleck,01/01/2006,Avant-Garde,1103,2,Outside the window bees buzzed...,Português,1.34
150,67,Two Gong/Wire Pieces,58,Andy Hayleck,01/01/2006,Avant-Garde,1071,1,... listening to the sunshine burn the grass,Canadiano,0.87
151,68,Make Them Suffer,59,Animal Writes,,Punk,701,4,Untitled 04,Mexicano,1.13
152,68,Make Them Suffer,59,Animal Writes,,Punk,637,11,Untitled 11,Indiano,0.9
153,69,Arc and Sender,60,Arc and Sender,11/26/2008,Post-Rock,354,2,Hundred-Year Flood,Espanhol,0.8
154,69,Arc and Sender,60,Arc and Sender,11/26/2008,Post-Rock,242,4,Squares And Circles,Brasileiro,0.95
155,70,unreleased demo,60,Arc and Sender,11/26/2008,Post-Rock,268,0,Maps of the Stars Homes,Australiano,1.1
156,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,345,1,Track 01,Americano,0.92
157,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,209,2,Track 02,Brasileiro,0.77
158,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,213,3,Track 03,Australiano,0.82
159,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,170,4,Track 04,Francês,0.97
160,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,147,5,Track 05,Alemão,1.32
161,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,175,6,Track 06,Indiano,0.76
162,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,176,7,Track 07,Brasileiro,1.12
163,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,162,8,Track 08,Japonês,1.35
164,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,138,9,Track 09,Australiano,1.27
165,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,159,10,Track 10,Japonês,0.98
166,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,275,11,Track 11,Australiano,1.36
167,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,149,12,Track 12,Chinês,1.11
168,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,151,13,Track 13,Português,0.7
169,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,815,1,Boss of Goth,Americano,0.84
170,73,Nightmarcher,62,Argumentix,10/07/2006,Punk,468,2,Industry Standard Massacre,Português,0.74
171,74,Victim of Your Life,62,Argumentix,11/26/2008,Punk,582,2,Marching as Technitions,Canadiano,1.28
172,75,Heir to the Power Bear Fortune,62,Argumentix,06/01/2007,Punk,468,3,I Can't Stand You Up-right,Brasileiro,0.92
173,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,475,4,Save Life's Golden Receipt In Case Refund Needed,Francês,1.19
174,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,405,6,Senator's Stance,Espanhol,0.94
175,73,Nightmarcher,62,Argumentix,10/07/2006,Punk,365,6,Snapped Today,Japonês,1.17
176,74,Victim of Your Life,62,Argumentix,11/26/2008,Punk,461,6,Step Up to Legends,Canadiano,0.72
177,72,Boss of Goth,62,Argumentix,01/01/2006,Punk,529,7,Petty Hate Machine,Francês,0.82
178,76,"Tarantula Downpour 7""",62,Argumentix,02/01/2006,Punk,287,0,Lend Me a Blanket,Japonês,1.36
179,77,Dracula Safari,62,Argumentix,11/26/2008,Punk,591,0,Ready to Die,Italiano,0.91
181,79,Scared Famous,64,Ariel Pink's Haunted Graffiti,01/01/2006,Lo-Fi,1736,1,Gopacapulco,Indiano,0.96
182,80,Worn Copy,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,5990,3,Jules Lost His Jewels,Francês,0.96
183,81,The Doldrums,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,1264,4,For Kate I Wait,Chinês,0.96
184,82,House Arrest,64,Ariel Pink's Haunted Graffiti,11/26/2008,Lo-Fi,1197,6,Helen,Inglês,1.16
185,83,Homemade Hits Vol. 1,64,Ariel Pink's Haunted Graffiti,01/01/2002,Experimental Pop,1426,9,Want Me,Mexicano,1.2
188,84,Blue Piano,127,Ed Askew,,Folk,3137,1,Piano 1,Americano,1.29
189,85,What I Know,127,Ed Askew,11/26/2008,Folk,730,1,The Thought Of It,Francês,0.79
190,84,Blue Piano,127,Ed Askew,,Folk,1758,2,Castle Of Stars,Português,1.37
191,85,What I Know,127,Ed Askew,11/26/2008,Folk,1224,2,Song About Michael,Chinês,1.26
192,85,What I Know,127,Ed Askew,11/26/2008,Folk,472,3,Ed Talk WNYC,Brasileiro,1.06
193,84,Blue Piano,127,Ed Askew,,Folk,1679,3,Here With You,Português,1.24
194,84,Blue Piano,127,Ed Askew,,Folk,1780,4,All I want to Do,Australiano,1.31
195,85,What I Know,127,Ed Askew,11/26/2008,Folk,567,4,I Remember You,Chinês,1.27
196,85,What I Know,127,Ed Askew,11/26/2008,Folk,524,5,Bright Mr Brother,Francês,1.06
197,84,Blue Piano,127,Ed Askew,,Folk,2286,5,Piano 2,Brasileiro,1.26
198,84,Blue Piano,127,Ed Askew,,Folk,1784,6,It Breaks My Heart,Inglês,1.3
